Diabetes,GDP,Internet,UrbanPop,Income
5,5700098114744.41,78.21,90.812,35086.7823011901
10.1,26795901408.4507,27.2,86.088,3288.6613778709
5.8,148047348240.643,31.6,56.827,5717.93157795322
3.5,40000088346.8041,7.2,23.571,798.055251339529
6.6,156120895.248578,9.07,47.39,2077.41911444055
7.9,1094499338702.72,83.7,81.936,18160.9660511944
14.6,115419050942.08,61.4,100,34443.6354974
5.2,4794357795.07139,16.3,35.306,664.680669338026
5.6,7127792629.58294,7,30.064,780.077838667899
7.6,23796118300.8371,68.42,67.841,8601.76448341574
7.8,38419626533.9967,43.68,87.334,6439.66535754456
3.9,2394600945.38102,3.86,24.798,1313.28204588977
4.7,1998000000,2.3,47.813,325.945546559107
9,74773444900.5368,14,78.052,8716.15193162511
5.3,53212476812.2957,90.62,88.547,63004.2553697268
3.2,9982711338.11813,1.7,31.938,381.799008898431
2.3,6959655570.89098,2.26,15.544,357.975906596529
11.6,255016609232.871,56.3,70.912,6804.80026121859
7.4,2588176054.6875,26.53,36.434,5396.34859786941
4.2,10678749467.4697,2,35.999,557.164416063932
4.8,4337794152.82681,4,46.588,836.635449255316
16.2,10003670690.3497,28.33,41.555,7072.21945351844
10.8,1057801295584.05,31.05,77.815,7362.91655221324
7.6,6974960426.21652,32.3,42.62,1636.32957969151
1.6,7189481824.07288,10.2,67.567,1822.2446916203
6.9,4139192052.98013,37.5,64.14,5867.36860750822
8.3,93216746661.5977,52,58.018,2472.54521264277
4,11087646867.9421,4.17,31.83,356.200999308011
3.2,49540813342.4834,0.25,28.885,942.797631976479
4.4,11282192605.0374,11.6,41.616,4509.12949169196
3.9,16002656434.4746,7.93,16.768,550.736959071206
5.3,846554894931.084,90.72,87.134,41980.6520740401
5.2,146583831538.331,80.46,86.16,26603.7568955635
10,8758639096.47693,10,56.917,1274.91503859892
3.9,5718664504.91341,0.83,16.221,303.727248206338
4.7,363359886203.409,11.5,43.48,1823.66132537102
6.9,9407168702.4313,51.9,57.089,3458.0332561669
3.6,428757038466.841,93.39,79.102,68568.6281428435
13.4,58642392717.8153,35.8278,75.161,10546.3665370796
9.1,177165635077.065,8,34.997,946.338448530506
9.6,29440300000,40.1,65.14,6920.05544768771
3,14250755221.5077,1.28,13.019,1301.79430690736
4.9,27215968615.5548,19.8,59.261,3596.17999642652
6.2,147528937028.778,34.77,76.43,4076.02939436615
7.7,199590775190.258,25,45.332,2279.91684305692
7.6,479321460551.189,62.32,60.892,10719.9811644526
9.7,237880908317.652,53.3,60.567,17861.8234951578
15.4,125122306346.154,69,98.501,41865.0627948103
6.9,166225180150.414,39.93,53.829,6554.84463026005
7.6,1524917468442.01,43,73.687,8426.13737444287
1.6,5849863212.53084,8,16.934,467.437429959765
7.7,663161528.405016,7,20.078,2931.10371272114
4.7,197454052.146072,18.75,64.952,855.835075749727
16.8,528207200000,41,82.084,15762.7986520568
4.7,16215069255.5883,8,43.773,1134.64442499353
6.9,41819468691.8251,40.9,54.993,4408.7701656178
14.4,969936525.298729,41,53.336,9148.70269128659
4.4,2578026297.15912,0.58,38.856,346.354211823965
6.4,90183986821.6439,75.71,54.685,12941.0027017494
7.7,48161250935.0166,70,52.658,18452.0731387797
3.3,681151193.502387,5,20.048,612.946121171587
4.5,375349442837.24,24,62.218,5883.21515655379
